Code,Term,drugsubstancename,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,2001_census_16_grouping,2001_census_6_grouping,medicine,Source
233841000033113,Cerivastatin 200microgram tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1916841000033114,Cerivastatin 400microgram tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
233941000033117,Cerivastatin 300microgram tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
836641000033111,Lipobay 100microgram tablets (Bayer Plc),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
836741000033119,Lipobay 200microgram tablets (Bayer Plc),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
836841000033112,Lipobay 300microgram tablets (Bayer Plc),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1916741000033116,Lipobay 400microgram tablets (Bayer Plc),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2290041000033115,Cerivastatin 800microgram tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2290141000033116,Lipobay 800microgram tablets (Bayer Plc),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
258541000033118,Ciprofibrate 100mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
936941000033113,Modalim 100mg tablets (Lexon (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
4310841000033113,Colesevelam 625mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
4310941000033117,Cholestagel 625mg tablets (Neon Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
359441000033119,Colestid Orange 5g granules sachets (Pfizer Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
12688241000033113,Colestipol 1g tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3086341000033118,Colestyramine 4g oral powder sachets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1148741000033114,Questran 4g oral powder sachets (Neon Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3086441000033112,Colestyramine 4g oral powder sachets sugar free,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1148841000033116,Questran Light 4g oral powder sachets (Neon Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2762241000033115,Omacor capsules (Viatris UK Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
